amount_financed,days_till_payment,max_client_financed_amount,client_size,debtor_size,debtor_type,client_transactions,debtor_transactions,average_client_spread,debtor_tenure,client_recency,fee_percentage
77161,63,34562620,Medium,Large,private,2,1,4.42,339.0,3.0,4.878333333
1628274,31,90914675,Medium,Large,private,1,2,1.2,228.0,0.0,1.658333333
40492,34,243661504,Small,Large,private,2,2,4.0,103.0,52.0,4.458333333
40492,34,243661504,Small,Large,private,3,3,4.0,103.0,52.0,4.458333333
160755,62,90914675,Medium,Large,private,6,2,4.446666667,339.0,0.0,4.958333333
611381,47,24348375,Small,Large,private,2,2,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,3,3,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,4,4,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,5,5,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,6,6,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,7,7,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,8,8,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,9,9,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,10,10,1.6,327.0,54.0,2.058333333
1411664,45,289453648,Medium,Large,private,2,2,1.6,292.0,13.0,2.058333333
1411664,45,289453648,Medium,Large,private,3,3,1.6,292.0,13.0,2.058333333
921489,61,25918248,Micro Business,Large,private,2,2,1.8,326.0,8.0,2.258333333
921489,61,23864212,Micro Business,Large,private,3,3,1.8,326.0,8.0,2.258333333
63040,31,86250367,Small,Large,private,2,2,6.07,34.0,20.0,6.528333333
89819,42,11074140,Small,Large,public,2,1,2.31,43.0,19.0,2.768333333
48688,28,72118569,No Information,No Information,public,4,1,2.6825,265.0,21.0,2.958333333
487370,43,160373752,Small,No Information,public,2,2,1.16,274.0,20.0,1.618333333
487370,43,196162268,Small,No Information,public,3,3,1.16,274.0,20.0,1.618333333
204843,46,34601245,Medium,Large,private,7,4,4.254285714,41.0,0.0,3.558333333
204843,46,34601245,Medium,Large,private,8,5,4.11,41.0,0.0,3.558333333
83747,44,8715249,Small,No Information,private,7,1,3.1,91.0,13.0,3.558333333
497229,35,14137200,No Information,Large,private,2,2,1.15,340.0,82.0,1.608333333
497229,35,3130176,No Information,Large,private,4,4,1.15,340.0,82.0,1.608333333
497229,35,18470435,No Information,Large,private,5,5,1.15,340.0,82.0,1.608333333
497229,35,51795205,No Information,Large,private,7,7,1.15,340.0,82.0,1.608333333
497229,35,66169366,No Information,Large,private,8,8,1.15,340.0,82.0,1.608333333
497229,35,107214465,No Information,Large,private,9,9,1.15,340.0,82.0,1.608333333
497229,35,14137200,No Information,Large,private,10,10,1.15,340.0,82.0,1.608333333
497229,35,37299205,No Information,Large,private,11,11,1.15,340.0,82.0,1.608333333
497229,35,47152047,No Information,Large,private,12,12,1.15,340.0,82.0,1.608333333
497229,35,17258440,No Information,Large,private,14,14,1.15,340.0,82.0,1.608333333
71186,36,4171939,Small,No Information,private,2,1,3.2,335.0,8.0,3.658333333
64141,62,40501527,Medium,Large,private,2,1,2.615,39.0,3.0,3.688333333
64141,62,40501527,Medium,Large,private,3,2,2.82,39.0,3.0,3.688333333
64141,62,40501527,Medium,No Information,private,4,1,2.9225,28.0,3.0,3.688333333
55620,65,85833210,No Information,Large,private,1,2,4.2,321.0,6.0,4.658333333
55620,65,18468800,No Information,Large,private,2,3,4.2,321.0,6.0,4.658333333
55620,65,85833210,No Information,Large,private,3,4,4.2,321.0,6.0,4.658333333
55620,65,85833210,No Information,Large,private,4,5,4.2,321.0,6.0,4.658333333
55620,65,18468800,No Information,Large,private,6,7,4.2,321.0,6.0,4.658333333
55620,65,1071337,No Information,Large,private,8,9,4.2,321.0,6.0,4.658333333
55620,65,18912063,No Information,Large,private,9,10,4.2,321.0,6.0,4.658333333
18398,70,599045346,Small,Large,private,1,16,4.5,341.0,11.0,4.958333333
44289,46,5137363,No Information,Large,private,3,3,2.17,281.0,5.0,2.628333333
187186,35,21724151,No Information,Large,private,3,1,1.12,336.0,14.0,1.578333333
187186,46,34888164,No Information,Large,private,5,1,1.12,336.0,14.0,1.578333333
187186,46,21724151,No Information,Large,private,6,2,1.12,336.0,14.0,1.578333333
187186,46,21724151,No Information,Large,private,9,5,1.12,336.0,14.0,1.578333333
187186,35,78121087,No Information,Large,private,10,1,1.12,336.0,14.0,1.578333333
187186,35,29794579,No Information,Large,private,11,1,1.12,320.0,14.0,1.578333333
187186,35,15301182,No Information,Large,private,12,3,1.12,336.0,14.0,1.578333333
166864,35,317425094,Small,Large,private,3,1,1.8,328.0,23.0,2.258333333
181335,35,31576923,Small,No Information,private,2,2,1.99,338.0,23.0,2.448333333
1629921,91,179133702,Micro Business,Large,private,2,2,1.35,218.0,33.0,1.808333333
38080,32,72118569,Micro Business,Small,private,2,1,1.99,65.0,13.0,2.448333333
16254,71,145160506,Small,Large,private,2,17,4.385,341.0,0.0,4.728333333
160381,32,179187121,Small,Large,private,2,2,1.85,31.0,31.0,2.308333333
160381,32,64382982,Small,Large,private,3,3,1.85,31.0,31.0,2.308333333
160381,32,7644415,Small,Large,private,4,4,1.85,31.0,31.0,2.308333333
398303,61,69869029,Medium,Large,private,9,6,4.042222222,342.0,2.0,3.958333333
398303,61,20087200,Medium,No Information,private,11,1,3.943636364,258.0,2.0,3.958333333
636174,60,55333147,Medium,Large,private,5,1,2.668,323.0,2.0,2.108333333
187186,32,209629452,No Information,Large,private,2,2,4.1,342.0,1.0,4.958333333
173360,42,29407134,No Information,Large,private,2,1,1.95,264.0,8.0,2.408333333
187186,43,655987,Small,No Information,private,1,3,0.8,338.0,78.0,1.258333333
60078,63,12602207,Medium,Large,private,12,7,4.094166667,345.0,3.0,6.208333333
60078,63,89390648,Medium,Large,private,13,8,4.221538462,345.0,3.0,6.208333333
548411,60,74008739,Small,Micro Business,public,2,2,2.22,227.0,9.0,2.678333333
548411,60,107214465,Small,Micro Business,public,3,3,2.22,227.0,9.0,2.678333333
548411,60,1841392,Small,Micro Business,public,4,4,2.22,227.0,9.0,2.678333333
548411,60,74008739,Small,Micro Business,public,5,5,2.22,227.0,9.0,2.678333333
34712,49,194967176,Small,Large,private,1,2,3.5,338.0,7.0,3.958333333
26040,59,125465420,No Information,Large,private,2,1,2.98,314.0,19.0,3.438333333
26040,59,95122310,No Information,Large,private,3,1,2.98,338.0,19.0,3.438333333
70353,69,91469913,No Information,Large,private,11,12,4.109090909,327.0,5.0,3.658333333
70353,69,91469913,No Information,Large,private,12,13,4.033333333,327.0,5.0,3.658333333
70353,69,91469913,No Information,Large,private,13,14,3.969230769,327.0,5.0,3.658333333
70353,69,91469913,No Information,Large,private,14,15,3.914285714,327.0,5.0,3.658333333
70353,69,91469913,No Information,Large,private,15,16,3.866666667,327.0,5.0,3.658333333
70353,69,91469913,No Information,Large,private,16,17,3.825,327.0,5.0,3.658333333
70353,69,91469913,No Information,Large,private,17,18,3.788235294,327.0,5.0,3.658333333
70353,69,91469913,No Information,Large,private,18,19,3.755555556,327.0,5.0,3.658333333
70353,69,91469913,No Information,Large,private,19,20,3.726315789,327.0,5.0,3.658333333
16226,41,36249591,No Information,Large,private,1,2,4.03,340.0,18.0,4.488333333
198370,62,94580600,Medium,Large,private,17,11,4.032352941,347.0,1.0,3.098333333
564845,35,1249523,No Information,No Information,private,2,2,2.15,326.0,15.0,2.608333333
40876,62,181060214,Micro Business,Large,private,2,2,2.11,166.0,15.0,2.568333333
293168,35,197752565,No Information,Medium,public,3,1,2.303333333,71.0,8.0,1.768333333
102521,70,20087200,Small,Large,private,3,18,3.623333333,347.0,5.0,2.558333333
187186,29,7263351,Small,No Information,private,4,1,1.62,221.0,29.0,2.078333333
165537,60,67841820,Medium,No Information,private,1,3,1.38,42.0,3.0,1.838333333
165537,60,67841820,Medium,No Information,private,2,4,1.38,42.0,3.0,1.838333333
1374760,29,41835664,Medium,Large,private,1,3,1.21,237.0,28.0,1.668333333
260016,33,29544466,Medium,Large,private,2,2,2.075,338.0,8.0,2.508333333
187186,70,43333196,No Information,Large,private,2,1,1.5,191.0,70.0,1.958333333
187186,70,194967176,No Information,No Information,private,3,2,1.5,174.0,70.0,1.958333333
195999,36,125465420,No Information,Large,private,1,2,2.35,317.0,29.0,2.808333333
323988,35,23366358,No Information,No Information,private,2,1,1.6,182.0,10.0,2.058333333
94724,35,23945823,Small,Large,private,2,2,1.9,348.0,37.0,2.358333333
94724,35,49149493,Small,Large,private,3,3,1.9,348.0,37.0,2.358333333
94724,35,49149493,Small,Large,private,4,4,1.9,348.0,37.0,2.358333333
192394,46,8909118,Micro Business,Large,private,5,1,3.79,289.0,2.0,2.958333333
111511,61,38494423,Medium,Large,private,22,13,4.197727273,349.0,0.0,5.928333333
111511,61,317425094,Medium,No Information,private,23,1,4.253043478,14.0,0.0,5.928333333
115631,87,2862545,Small,Large,private,2,2,2.0,39.0,6.0,2.458333333
86870,48,94580600,No Information,Large,private,2,2,2.2,205.0,21.0,2.658333333
334081,38,12190622,Small,Large,private,2,2,1.85,76.0,24.0,2.308333333
334081,38,160373752,Small,Large,private,3,3,1.85,76.0,24.0,2.308333333
1519034,41,37201102,Small,No Information,private,2,1,2.7,19.0,19.0,3.158333333
187186,32,45857595,Micro Business,Large,private,2,2,2.1,324.0,24.0,2.558333333
187186,32,10446415,Micro Business,Large,private,4,4,2.1,324.0,24.0,2.558333333
187186,32,32213608,Micro Business,Large,private,6,2,2.1,232.0,24.0,2.558333333
187186,32,14577500,Micro Business,Large,private,7,3,2.1,232.0,24.0,2.558333333
187186,32,197752565,Micro Business,Large,private,8,4,2.1,232.0,24.0,2.558333333
187186,32,10446415,Micro Business,Large,private,9,5,2.1,232.0,24.0,2.558333333
187186,48,13500831,Small,Large,private,2,3,4.0,343.0,4.0,4.958333333
187186,48,197752565,Small,Large,private,3,4,4.166666667,343.0,4.0,4.958333333
42840,70,4070440,No Information,Large,private,20,21,3.7305,330.0,3.0,4.268333333
429999,29,207688494,Small,Large,private,1,2,1.8,331.0,16.0,2.258333333
429999,29,14515333,Small,Large,private,2,1,1.8,104.0,16.0,2.258333333
429999,29,14515333,Small,Large,private,3,2,1.8,104.0,16.0,2.258333333
429999,29,89390648,Small,Large,private,4,3,1.8,331.0,16.0,2.258333333
53802,50,34713090,Small,Large,private,4,5,4.2375,37.0,4.0,4.908333333
50990,45,16618350,Micro Business,Medium,public,2,1,3.07,64.0,20.0,3.528333333
50990,45,197752565,Micro Business,Large,private,3,2,3.07,336.0,20.0,3.528333333
50990,45,55333147,Micro Business,Large,private,4,3,3.07,336.0,20.0,3.528333333
746386,45,145160506,Small,Large,private,2,2,1.75,297.0,21.0,2.208333333
21142,30,56736506,No Information,Large,private,2,2,5.835,317.0,11.0,6.218333333
21142,30,34458673,No Information,Large,private,3,3,5.81,317.0,11.0,6.218333333
1308601,31,3464176,Medium,Large,private,2,1,0.95,13.0,13.0,1.158333333
37650,31,277132305,No Information,Large,private,4,4,6.6075,9.0,9.0,9.458333333
37650,31,277132305,No Information,Large,private,5,5,7.086,9.0,9.0,9.458333333
107814,39,7644415,No Information,No Information,private,1,3,3.59,349.0,11.0,4.048333333
139084,45,4944864,Medium,Large,private,24,14,4.226666667,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,25,4,4.2024,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,26,5,4.18,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,27,6,4.159259259,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,28,7,4.14,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,29,15,4.122068966,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,30,8,4.105333333,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,31,16,4.089677419,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,32,17,4.075,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,33,9,4.061212121,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,34,10,4.048235294,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,35,11,4.036,44.0,3.0,4.078333333
139084,45,4944864,Medium,Large,private,36,12,4.024444444,44.0,3.0,4.078333333
47087,42,30927597,Small,Large,private,1,2,6.5,350.0,39.0,6.958333333
47087,42,72118569,Small,Large,private,2,3,6.5,350.0,39.0,6.958333333
187186,63,37299205,Small,No Information,private,2,3,1.18,178.0,25.0,1.638333333
4458409,60,17233950,Medium,No Information,private,1,2,2.4,33.0,33.0,2.858333333
71995,30,10326534,No Information,Large,private,6,6,6.676666667,318.0,0.0,5.088333333
26433,48,56736506,Micro Business,Large,private,1,2,2.71,350.0,14.0,3.168333333
187186,30,88375794,Medium,Large,private,3,1,0.65,350.0,4.0,1.088333333
642773,60,42479303,No Information,Large,public,1,4,1.35,349.0,17.0,1.808333333
568867,28,13065130,No Information,Large,public,1,5,1.27,349.0,11.0,1.728333333
568867,28,15616346,No Information,Large,public,2,6,1.27,349.0,11.0,1.728333333
21332,49,38055898,No Information,Large,private,2,2,3.9,166.0,20.0,4.358333333
21332,49,38055898,No Information,Large,private,3,3,3.9,166.0,20.0,4.358333333
21332,49,38055898,No Information,Large,private,4,4,3.9,166.0,20.0,4.358333333
21332,49,38055898,No Information,Large,private,5,5,3.9,166.0,20.0,4.358333333
21332,49,38055898,No Information,Large,private,6,6,3.9,166.0,20.0,4.358333333
2200180,63,31319791,Medium,No Information,private,2,3,1.75,342.0,28.0,1.558333333
54704,62,35520900,No Information,Large,private,1,4,2.19,306.0,55.0,2.648333333
54704,62,78121087,No Information,Large,private,2,5,2.19,306.0,55.0,2.648333333
59976,30,19345904,Medium,Large,private,3,2,0.9,14.0,1.0,1.258333333
329000,60,180267502,Large,Large,private,1,2,1.04,25.0,6.0,1.498333333
187186,36,35481148,No Information,Large,private,1,2,0.66,349.0,22.0,1.118333333
187186,60,49959301,No Information,Large,private,2,2,0.66,354.0,22.0,1.118333333
187186,60,6315539,No Information,Medium,private,3,1,0.66,167.0,22.0,1.118333333
187186,60,289453648,No Information,No Information,private,4,1,0.66,109.0,22.0,1.118333333
187186,60,41468966,No Information,Medium,private,5,2,0.66,167.0,22.0,1.118333333
315181,61,41734470,No Information,No Information,private,2,2,2.0,53.0,31.0,2.458333333
6407465,44,98599000,Medium,Large,private,4,6,1.515,306.0,14.0,1.718333333
174963,70,14350523,Small,Large,private,2,2,2.51,40.0,6.0,2.968333333
174963,70,14350523,Small,Large,private,3,3,2.51,40.0,6.0,2.968333333
149302,70,289453648,Small,Large,private,5,19,2.994,353.0,6.0,2.458333333
50432,40,8509035,No Information,Large,private,1,2,2.79,326.0,43.0,3.248333333
328737,62,32318901,No Information,Large,private,3,1,1.416666667,351.0,8.0,1.708333333
328737,62,34935788,No Information,Large,private,4,2,1.375,351.0,8.0,1.708333333
328737,62,289453648,No Information,Large,private,5,3,1.35,351.0,8.0,1.708333333
150378,36,19792080,Small,Large,private,2,1,1.45,342.0,13.0,1.908333333
21420,50,2971971,Micro Business,Large,private,1,4,3.11,295.0,90.0,3.568333333
120094,34,25831330,Small,No Information,private,6,4,1.933333333,350.0,4.0,2.908333333
120094,34,25831330,Small,No Information,private,7,5,2.007142857,350.0,4.0,2.908333333
340102,60,17822218,Medium,Large,private,7,2,2.428571429,25.0,2.0,2.288333333
187186,35,23344239,No Information,Large,private,13,3,1.150769231,349.0,13.0,1.978333333
187186,35,29544466,No Information,Large,private,14,4,1.177142857,349.0,13.0,1.978333333
187186,35,78121087,No Information,Large,private,15,2,1.2,349.0,13.0,1.978333333
187186,35,125465420,No Information,Large,private,16,2,1.22,333.0,13.0,1.978333333
187186,47,23344239,No Information,Large,private,17,6,1.237647059,349.0,13.0,1.978333333
187186,47,289453648,No Information,Large,private,18,7,1.253333333,349.0,13.0,1.978333333
187186,47,32633615,No Information,Large,private,19,8,1.267368421,349.0,13.0,1.978333333
187186,35,394080768,No Information,Large,private,20,4,1.28,349.0,13.0,1.978333333
114835,40,47152047,Small,Large,private,3,3,3.08,340.0,4.0,2.958333333
196182,43,33791687,Small,Large,private,4,4,1.8875,81.0,4.0,2.458333333
32075,47,40968735,Small,Large,private,2,2,2.9,327.0,26.0,3.358333333
32075,47,47648954,Small,Large,private,3,3,2.9,327.0,26.0,3.358333333
32075,47,13287031,Small,Large,private,4,4,2.9,327.0,26.0,3.358333333
32075,47,43625885,Small,Large,private,5,5,2.9,327.0,26.0,3.358333333
32075,47,40968735,Small,Large,private,6,6,2.9,327.0,26.0,3.358333333
32075,47,168788474,Small,Large,private,7,7,2.9,327.0,26.0,3.358333333
32075,47,44469036,Small,Large,private,8,8,2.9,327.0,26.0,3.358333333
32075,47,47648954,Small,Large,private,9,9,2.9,327.0,26.0,3.358333333
32075,47,31129199,Small,Large,private,10,10,2.9,327.0,26.0,3.358333333
158238,32,38071911,No Information,No Information,private,2,2,1.1,271.0,29.0,1.558333333
406504,43,19328540,Small,Large,private,1,3,2.25,302.0,23.0,2.708333333
40313,32,25918248,No Information,No Information,private,3,2,3.54,337.0,19.0,3.998333333
40313,32,25918248,No Information,Large,private,4,1,3.54,301.0,19.0,3.998333333
95200,36,47657303,Small,Large,private,2,2,3.05,288.0,1.0,3.858333333
117810,40,248004777,Small,Large,public,2,2,2.6,309.0,16.0,2.958333333
117810,40,25831330,Small,Large,public,3,3,2.566666667,309.0,16.0,2.958333333
187186,36,23945823,No Information,Large,private,1,5,2.8,355.0,13.0,3.258333333
187186,35,231249463,No Information,Large,public,3,1,2.31,79.0,79.0,2.768333333
187186,47,37229049,No Information,Micro Business,public,4,1,2.31,69.0,79.0,2.768333333
21993,70,23344239,Small,Large,private,6,20,3.086666667,355.0,1.0,4.008333333
187186,35,36249591,No Information,Large,private,3,2,1.333333333,335.0,0.0,2.158333333
26480,46,43625885,No Information,Large,private,3,3,4.346666667,1.0,1.0,3.158333333
26480,76,127149480,No Information,Large,private,4,4,3.935,1.0,1.0,3.158333333
238658,36,25944084,No Information,Large,private,2,1,1.94,231.0,6.0,2.458333333
238658,36,23864212,No Information,Large,private,3,2,1.96,231.0,6.0,2.458333333
61338,60,19005260,No Information,Large,private,2,2,2.5,231.0,118.0,2.958333333
134888,61,25831330,No Information,Large,private,2,2,0.99,213.0,6.0,1.298333333
126410,42,50234648,Small,No Information,private,1,5,1.86,356.0,8.0,2.318333333
269963,32,32318901,No Information,Large,private,1,6,0.9,356.0,29.0,1.358333333
68388,32,10009023,Micro Business,Large,private,2,6,2.99,349.0,16.0,3.578333333
68388,32,8515242,Micro Business,Large,private,3,7,3.033333333,349.0,16.0,3.578333333
27608,39,44053630,Micro Business,Large,private,1,7,4.76,321.0,29.0,5.218333333
100853,59,52267122,No Information,Large,private,1,4,1.3,343.0,37.0,1.758333333
100853,59,55333147,No Information,Large,private,2,5,1.3,343.0,37.0,1.758333333
230493,59,24348375,Small,No Information,private,15,2,2.246666667,106.0,15.0,1.958333333
626188,31,26308402,Large,Large,private,2,1,1.55,33.0,33.0,1.258333333
626188,31,26308402,Large,Large,private,3,2,1.3,33.0,33.0,1.258333333
626188,31,26308402,Large,Large,private,4,3,1.175,33.0,33.0,1.258333333
63739,31,66169366,Small,Large,private,2,2,2.7,342.0,23.0,3.158333333
187186,28,180267502,Medium,Large,private,1,2,0.29,352.0,29.0,0.748333333
187186,28,180267502,Medium,Large,private,2,3,0.29,352.0,29.0,0.748333333
476066,60,127149480,Large,Large,private,2,22,1.3,356.0,22.0,1.758333333
476066,60,127149480,Large,Large,private,4,24,1.3,356.0,22.0,1.758333333
83628,45,32213608,Small,Large,private,1,3,2.5,353.0,48.0,2.958333333
83628,45,94580600,Small,Large,private,2,4,2.5,353.0,48.0,2.958333333
83628,45,89390648,Small,Large,private,3,5,2.5,353.0,48.0,2.958333333
83628,45,30481449,Small,Large,private,4,6,2.5,353.0,48.0,2.958333333
879534,31,49956915,Medium,Large,private,4,4,1.05,245.0,2.0,1.958333333
987137,61,66169366,Medium,Large,private,37,13,3.975135135,356.0,7.0,2.658333333
987137,61,23945823,Medium,Large,private,38,14,3.928421053,356.0,7.0,2.658333333
987137,61,23945823,Medium,Large,private,39,18,3.884102564,356.0,7.0,2.658333333
987137,61,23945823,Medium,Large,private,40,19,3.842,356.0,7.0,2.658333333
987137,61,89390648,Medium,Large,private,41,20,3.80195122,356.0,7.0,2.658333333
987137,61,61214305,Medium,Large,private,43,21,3.72744186,356.0,7.0,2.658333333
987137,61,66169366,Medium,Large,private,44,22,3.692727273,356.0,7.0,2.658333333
987137,61,35613963,Medium,Large,private,45,23,3.659555556,356.0,7.0,2.658333333
987137,61,3427200,Medium,Large,private,46,24,3.627826087,356.0,7.0,2.658333333
987137,61,102515618,Medium,Large,private,47,25,3.597446809,356.0,7.0,2.658333333
987137,61,89390648,Medium,No Information,private,48,2,3.568333333,272.0,7.0,2.658333333
987137,61,12678740,Medium,Large,private,49,15,3.540408163,356.0,7.0,2.658333333
987137,61,3427200,Medium,Large,private,50,16,3.5136,356.0,7.0,2.658333333
987137,61,18912063,Medium,Large,private,51,26,3.487843137,356.0,7.0,2.658333333
987137,61,31319791,Medium,Large,private,52,27,3.463076923,356.0,7.0,2.658333333
987137,61,102515618,Medium,Large,private,53,28,3.439245283,356.0,7.0,2.658333333
987137,61,61214305,Medium,Large,private,54,29,3.416296296,356.0,7.0,2.658333333
987137,61,13536179,Medium,Large,private,56,31,3.372857143,356.0,7.0,2.658333333
38659,31,210581452,Micro Business,Large,private,1,4,3.83,342.0,21.0,4.288333333
187186,60,116167066,No Information,Large,private,1,3,1.25,356.0,21.0,1.708333333
28191,63,1308894,Small,Large,private,2,5,3.48,335.0,15.0,3.058333333
68745,45,15324850,Small,Large,private,1,7,2.4,239.0,30.0,2.858333333
68745,45,124725642,Small,Large,private,2,8,2.4,239.0,30.0,2.858333333
68745,45,4665804,Small,Large,private,3,1,2.4,325.0,30.0,2.858333333
68745,45,15324850,Small,Large,private,4,2,2.4,325.0,30.0,2.858333333
68745,45,7109726,Small,Large,private,5,3,2.4,325.0,30.0,2.858333333
422485,20,41468966,Medium,Large,private,2,1,1.05,181.0,8.0,1.348333333
36890,60,23246695,No Information,Large,private,3,6,1.7,343.0,0.0,2.958333333
187186,45,55308418,Small,No Information,private,2,1,1.44,58.0,14.0,1.938333333
187186,45,55308418,Small,No Information,private,3,1,1.453333333,330.0,14.0,1.938333333
187186,45,55308418,Small,No Information,private,4,2,1.46,330.0,14.0,1.938333333
121618,70,14522689,Small,No Information,private,2,1,3.425,357.0,14.0,2.958333333
329868,61,13500831,No Information,No Information,private,2,2,2.05,149.0,10.0,2.358333333
402220,60,394080768,Medium,No Information,private,8,1,2.375,343.0,15.0,2.458333333
187186,60,25239552,No Information,Large,private,1,2,0.51,93.0,134.0,0.968333333
34922,35,125465420,No Information,Large,private,2,2,3.4,352.0,36.0,3.858333333
113006,50,35481148,Small,Large,private,4,3,3.05,340.0,10.0,3.658333333
49478,45,14137200,Small,Large,private,5,8,4.016,352.0,9.0,3.588333333
49478,45,87550679,Small,Large,private,6,9,3.868333333,352.0,9.0,3.588333333
59391,42,236295942,Small,Large,private,2,2,3.0,359.0,6.0,3.158333333
38080,30,236295942,Small,Large,private,1,2,3.0,353.0,20.0,3.458333333
131520,37,48484116,Medium,Large,private,2,7,1.2,44.0,3.0,1.658333333
1225639,26,26035415,Medium,No Information,private,2,2,1.75,95.0,34.0,2.208333333
1225639,27,38055898,Medium,No Information,private,3,3,1.75,95.0,34.0,2.208333333
1225639,27,1308894,Medium,No Information,private,4,4,1.75,95.0,34.0,2.208333333
1225639,27,179187121,Medium,No Information,private,5,5,1.75,95.0,34.0,2.208333333
1225639,27,89390648,Medium,No Information,private,6,6,1.75,95.0,34.0,2.208333333
1225639,27,289453648,Medium,No Information,private,8,2,1.75,333.0,34.0,2.208333333
1225639,28,179187121,Medium,Large,private,10,4,1.75,307.0,34.0,2.208333333
1225639,28,34935788,Medium,Large,private,11,5,1.75,307.0,34.0,2.208333333
1225639,28,34935788,Medium,Large,private,12,6,1.75,307.0,34.0,2.208333333
1225639,56,1308894,Medium,No Information,private,23,1,1.75,333.0,34.0,2.208333333
1225639,27,38055898,Medium,No Information,private,27,1,1.75,333.0,34.0,2.208333333
1225639,56,43247934,Medium,No Information,private,29,1,1.75,341.0,34.0,2.208333333
1225639,56,43247934,Medium,No Information,private,30,2,1.75,341.0,34.0,2.208333333
1225639,56,34935788,Medium,No Information,private,33,2,1.75,333.0,34.0,2.208333333
1225639,26,26035415,Medium,No Information,private,37,1,1.75,186.0,34.0,2.208333333
1225639,26,26035415,Medium,No Information,private,38,2,1.75,186.0,34.0,2.208333333
1225639,26,39526217,Medium,No Information,private,39,1,1.75,310.0,34.0,2.208333333
1225639,26,1308894,Medium,No Information,private,40,2,1.75,310.0,34.0,2.208333333
1225639,26,39526217,Medium,No Information,private,41,3,1.75,310.0,34.0,2.208333333
1225639,27,83327702,Medium,No Information,private,42,1,1.75,292.0,34.0,2.208333333
1225639,31,38055898,Medium,Large,private,49,1,1.75,333.0,34.0,2.208333333
1225639,56,289453648,Medium,No Information,private,51,1,1.75,68.0,34.0,2.208333333
1225639,27,38055898,Medium,Large,private,52,1,1.75,333.0,34.0,2.208333333
1225639,28,26035415,Medium,Large,private,53,1,1.75,95.0,34.0,2.208333333
1225639,56,26035415,Medium,No Information,private,55,3,1.75,333.0,34.0,2.208333333
1225639,27,10371505,Medium,No Information,private,56,3,1.75,333.0,34.0,2.208333333
1225639,56,116707522,Medium,No Information,private,58,2,1.75,68.0,34.0,2.208333333
1225639,27,116707522,Medium,No Information,private,59,7,1.75,95.0,34.0,2.208333333
1225639,27,43247934,Medium,No Information,private,63,3,1.75,333.0,34.0,2.208333333
1225639,27,1308894,Medium,No Information,private,64,4,1.75,333.0,34.0,2.208333333
1225639,26,39526217,Medium,Large,private,66,1,1.75,333.0,34.0,2.208333333
1225639,28,34935788,Medium,Large,private,68,2,1.75,95.0,34.0,2.208333333
1225639,27,89390648,Medium,Large,private,69,1,1.75,118.0,34.0,2.208333333
1225639,26,10371505,Medium,No Information,private,70,3,1.75,186.0,34.0,2.208333333
1225639,28,38055898,Medium,Large,private,71,8,1.75,307.0,34.0,2.208333333
1225639,28,179187121,Medium,Large,private,72,9,1.75,307.0,34.0,2.208333333
1225639,56,26035415,Medium,Large,private,73,3,1.75,360.0,34.0,2.208333333
1225639,28,1308894,Medium,Large,private,75,1,1.75,333.0,34.0,2.208333333
1225639,28,179187121,Medium,Large,private,76,2,1.75,333.0,34.0,2.208333333
1225639,27,38055898,Medium,No Information,private,77,2,1.75,292.0,34.0,2.208333333
1225639,27,89390648,Medium,Large,private,78,2,1.75,118.0,34.0,2.208333333
1225639,27,116707522,Medium,Large,private,79,3,1.75,118.0,34.0,2.208333333
1225639,27,10371505,Medium,Large,private,80,4,1.75,118.0,34.0,2.208333333
1225639,27,34935788,Medium,Large,private,81,5,1.75,118.0,34.0,2.208333333
1225639,27,34935788,Medium,Large,private,82,6,1.75,118.0,34.0,2.208333333
1225639,27,179187121,Medium,Large,private,83,7,1.75,118.0,34.0,2.208333333
1225639,27,34935788,Medium,Large,private,84,8,1.75,118.0,34.0,2.208333333
1225639,27,10371505,Medium,Large,private,85,9,1.75,118.0,34.0,2.208333333
1225639,27,43247934,Medium,Large,private,86,10,1.75,118.0,34.0,2.208333333
1225639,59,10371505,Medium,No Information,private,88,5,1.75,333.0,34.0,2.208333333
1225639,28,43247934,Medium,Large,private,89,3,1.75,333.0,34.0,2.208333333
354368,45,59983775,Medium,Large,private,74,17,3.298243243,45.0,0.0,3.098333333
